IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
155.248.196.218,443,true,SJC,North America,San Jose,191 ms,9719 kB/s
192.9.246.112,8443,true,SJC,North America,San Jose,191 ms,9445 kB/s
150.230.47.17,443,true,SJC,North America,San Jose,192 ms,8201 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,303 ms,6052 kB/s
193.122.54.249,443,true,FRA,Europe,Frankfurt,261 ms,5724 kB/s
129.146.240.62,443,true,LAX,North America,Los Angeles,275 ms,5649 kB/s
152.67.78.164,8443,true,MXP,Europe,Milan,267 ms,5445 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,250 ms,5402 kB/s
204.216.105.106,8443,true,YUL,North America,Montréal,280 ms,5359 kB/s
168.138.41.79,443,true,KIX,Asia Pacific,Osaka,214 ms,5330 kB/s
192.18.150.176,2087,true,YYZ,North America,Toronto,251 ms,5240 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,254 ms,5154 kB/s
132.226.206.33,443,true,FRA,Europe,Frankfurt,290 ms,5127 kB/s
138.3.251.245,443,true,FRA,Europe,Frankfurt,264 ms,4796 kB/s
141.147.119.231,443,true,FRA,Europe,Frankfurt,260 ms,4740 kB/s
141.144.193.176,443,true,FRA,Europe,Frankfurt,273 ms,4735 kB/s
152.70.165.37,443,true,FRA,Europe,Frankfurt,271 ms,4713 kB/s
143.47.190.215,443,true,FRA,Europe,Frankfurt,270 ms,4712 kB/s
193.122.6.164,443,true,FRA,Europe,Frankfurt,258 ms,4629 kB/s
141.144.197.146,443,true,AMS,Europe,Amsterdam,274 ms,4611 kB/s
129.151.205.193,443,true,ARN,Europe,Stockholm,301 ms,4609 kB/s
155.248.196.123,443,true,YVR,North America,Vancouver,188 ms,4558 kB/s
141.144.243.25,443,true,FRA,Europe,Frankfurt,268 ms,4371 kB/s
144.24.164.108,443,true,FRA,Europe,Frankfurt,270 ms,4338 kB/s
141.144.200.41,443,true,FRA,Europe,Frankfurt,268 ms,4274 kB/s
152.67.231.219,443,true,SJC,North America,San Jose,191 ms,4248 kB/s
192.9.250.249,443,true,SJC,North America,San Jose,178 ms,4140 kB/s
192.18.139.229,8443,true,SJC,North America,San Jose,196 ms,4123 kB/s
141.147.56.71,443,true,FRA,Europe,Frankfurt,269 ms,4101 kB/s
141.148.239.8,443,true,FRA,Europe,Frankfurt,263 ms,4095 kB/s
138.2.176.20,443,true,FRA,Europe,Frankfurt,258 ms,4027 kB/s
150.230.115.239,443,true,FRA,Europe,Frankfurt,270 ms,4018 kB/s
141.144.234.2,443,true,FRA,Europe,Frankfurt,256 ms,4002 kB/s
140.83.86.166,443,true,KIX,Asia Pacific,Osaka,214 ms,3949 kB/s
144.21.43.41,443,true,FRA,Europe,Frankfurt,273 ms,3921 kB/s
155.248.202.141,443,true,SJC,North America,San Jose,216 ms,3895 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,214 ms,3880 kB/s
64.110.103.69,443,true,KIX,Asia Pacific,Osaka,196 ms,3770 kB/s
